iter	Passed	Remaining
0	287	78747
1	429	58683
2	570	51722
3	733	49711
4	897	48466
5	1063	47696
6	1229	47088
7	1391	46456
8	1555	45967
9	1727	45791
10	1898	45561
11	2068	45335
12	2236	45077
13	2403	44808
14	2572	44588
15	2743	44412
16	2914	44237
17	3086	44066
18	3254	43849
19	3418	43587
20	3594	43482
21	3764	43289
22	3929	43048
23	4099	42873
24	4265	42654
25	4429	42416
26	4602	42276
27	4771	42088
28	4933	41853
29	5102	41667
30	5270	41480
31	5434	41265
32	5604	41096
33	5773	40921
34	5938	40720
35	6105	40533
36	6276	40371
37	6441	40171
38	6608	39991
39	6771	39783
40	6935	39581
41	7097	39375
42	7264	39195
43	7426	38986
44	7589	38792
45	7757	38617
46	7922	38431
47	8083	38229
48	8250	38052
49	8411	37852
50	8577	37675
51	8746	37507
52	8911	37328
53	9077	37151
54	9237	36951
55	9398	36754
56	9559	36562
57	9727	36394
58	9889	36205
59	10051	36018
60	10212	35828
61	10382	35669
62	10552	35511
63	10716	35330
64	10877	35142
65	11049	34988
66	11218	34828
67	11392	34680
68	11563	34524
69	11766	34458
70	11976	34412
71	12176	34332
72	12377	34249
73	12551	34093
74	12735	33962
75	12951	33911
76	13147	33807
77	13320	33643
78	13498	33488
79	13677	33338
80	13848	33168
81	14023	33006
82	14194	32835
83	14365	32663
84	14538	32498
85	14713	32335
86	14888	32172
87	15061	32005
88	15239	31849
89	15413	31684
90	15588	31518
91	15757	31342
92	15924	31164
93	16100	31001
94	16272	30831
95	16444	30661
96	16617	30494
97	16790	30325
98	16964	30158
99	17349	30361
100	17923	30878
101	18180	30835
102	18479	30859
103	19051	31325
104	19416	31437
105	19589	31232
106	19762	31028
107	19929	30816
108	20097	30607
109	20264	30397
110	20435	30193
111	20606	29990
112	20778	29789
113	20949	29586
114	21113	29375
115	21285	29175
116	21452	28969
117	21624	28771
118	21803	28582
119	21975	28385
120	22139	28176
121	22298	27964
122	22465	27762
123	22629	27556
124	22807	27369
125	22969	27162
126	23135	26960
127	23299	26758
128	23466	26558
129	23641	26369
130	23811	26174
131	23991	25990
132	24154	25789
133	24321	25592
134	24485	25392
135	24649	25193
136	24817	24998
137	24985	24804
138	25147	24604
139	25318	24414
140	25481	24216
141	25642	24017
142	25804	23819
143	25968	23624
144	26130	23427
145	26295	23233
146	26458	23038
147	26619	22842
148	26789	22654
149	26958	22465
150	27131	22280
151	27301	22092
152	27474	21907
153	27648	21723
154	27819	21537
155	28001	21359
156	28172	21174
157	28353	20995
158	28522	20809
159	28704	20631
160	28898	20462
161	29086	20288
162	29269	20111
163	29465	19943
164	29648	19765
165	29820	19581
166	30003	19403
167	30190	19228
168	30371	19049
169	30556	18873
170	30755	18704
171	30987	18556
172	31202	18397
173	31405	18229
174	31593	18053
175	31762	17866
176	31933	17680
177	32105	17495
178	32278	17311
179	32451	17127
180	32620	16941
181	32786	16753
182	32964	16572
183	33129	16384
184	33359	16228
185	33892	16217
186	34308	16145
187	34481	15956
188	34653	15768
189	34820	15577
190	34984	15385
191	35147	15193
192	35311	15002
193	35475	14811
194	35640	14621
195	35802	14430
196	35969	14241
197	36132	14051
198	36295	13861
199	36458	13671
200	36618	13481
201	36779	13291
202	36947	13104
203	37110	12915
204	37271	12726
205	37440	12540
206	37601	12352
207	37764	12164
208	37928	11977
209	38091	11790
210	38253	11602
211	38416	11416
212	38581	11230
213	38744	11044
214	38908	10858
215	39072	10672
216	39238	10487
217	39404	10303
218	39567	10117
219	39736	9934
220	39900	9749
221	40063	9564
222	40231	9381
223	40408	9200
224	40578	9017
225	40743	8833
226	40912	8651
227	41084	8469
228	41245	8285
229	41410	8102
230	41576	7919
231	41738	7736
232	41906	7553
233	42065	7370
234	42227	7187
235	42392	7005
236	42556	6823
237	42724	6641
238	42897	6461
239	43073	6281
240	43242	6100
241	43422	5921
242	43609	5742
243	43788	5563
244	43964	5383
245	44138	5203
246	44311	5023
247	44484	4843
248	44655	4662
249	44840	4484
250	45018	4304
251	45197	4125
252	45386	3946
253	45565	3767
254	45759	3588
255	45949	3410
256	46127	3230
257	46304	3051
258	46562	2876
259	46771	2698
260	46972	2519
261	47153	2339
262	47345	2160
263	47536	1980
264	47716	1800
265	47902	1620
266	48085	1440
267	48262	1260
268	48475	1081
269	48664	901
270	48843	720
271	49015	540
272	49186	360
273	49358	180
274	49707	0
